id,created_at,entry_year,entry_semester,shift,current_period,academic_status,hardest_subject_1,hardest_subject_2,hardest_subject_3,least_interesting_subject_1,least_interesting_subject_2,least_interesting_subject_3,most_relevant_subject_1,most_relevant_subject_2,most_relevant_subject_3,ai_tool,ai_tool_other,main_language,main_language_other,comfortable_languages,comfortable_languages_other,professional_level,professional_level_other,work_area,work_area_other,time_in_tech,time_working_general,company_size,salary_after_graduation,salary_5_years,salary_10_years,career_intention,english_level,current_salary,main_languages
0238531b-6c2b-4e73-ba2c-adc40129c11e,2026-06-11 22:09:26.802243+00,2021,2,Noite,7,Irregular,Fundamentos de Projeto e Análise de Algoritmos,Algoritmos e Estruturas de Dados II,Cálculo II,Modelagem de Processos de Negócios,Gerência de Configuração e Evolução de Software,Gestão da Produção de Software,Programação Modular,Trabalho Interdisciplinar: Aplicações Distribuídas,Trabalho Interdisciplinar: Aplicações para Cenários Reais,Gemini,,Python,Shell Script,"[""Python"", ""TypeScript""]","Shell Script ",Analista / Desenvolvedor Júnior,,Automação e Engenharia de Dados,Automação e Engenharia de Dados,Mais de 4 anos,Mais de 4 anos,Multinacional (sede fora do Brasil),R$ 5.000 – R$ 8.000,R$ 8.000 – R$ 12.000,R$ 12.000 – R$ 18.000,Mercado privado no Brasil (CLT ou PJ),Básico,R$ 4.000 – R$ 6.000,"[""Python"", ""TypeScript"", ""C++"", ""Shell Script""]"
4c10387e-900e-410c-852c-4ad6c75add35,2026-06-11 22:05:50.825622+00,2022,1,Noite,7,Irregular,Fundamentos de Projeto e Análise de Algoritmos,Cálculo II,Teoria dos Grafos e Computabilidade,Computadores e Sociedade,Gerência de Configuração e Evolução de Software,Tecnologias da Informação e do Conhecimento,Teoria dos Grafos e Computabilidade,Fundamentos de Projeto e Análise de Algoritmos,Arquitetura de Software,Gemini,,Python,,"[""Python"", ""JavaScript"", ""TypeScript"", ""C"", ""C#"", ""Dart / Flutter""]",,Analista / Desenvolvedor Júnior,,Full Stack,,1 a 2 anos,1 a 2 anos,Grande empresa / corporação (500 ou mais funcionários),R$ 3.000 – R$ 5.000,R$ 8.000 – R$ 12.000,Acima de R$ 18.000,Empreender / abrir minha própria empresa,Avançado,R$ 2.000 – R$ 4.000,"[""Python"", ""JavaScript"", ""TypeScript"", ""Dart / Flutter"", ""C#""]"
8c40dfb8-c551-4879-8296-ef6c35fbfcad,2026-06-11 21:57:40.786316+00,2023,1,Noite,7,Regular,Fundamentos de Projeto e Análise de Algoritmos,Algoritmos e Estruturas de Dados II,,Gerência de Configuração e Evolução de Software,Gestão da Produção de Software,Gerência de Projetos de Software,Fundamentos de Projeto e Análise de Algoritmos,Teoria dos Grafos e Computabilidade,,Claude,,Python,,"[""JavaScript"", ""TypeScript"", ""Python""]",,Estagiário,,Product Owner / Product Manager,,1 a 2 anos,Mais de 4 anos,Grande empresa / corporação (500 ou mais funcionários),R$ 8.000 – R$ 12.000,R$ 8.000 – R$ 12.000,R$ 8.000 – R$ 12.000,Concurso público,Avançado,R$ 1.000 – R$ 2.000,"[""Python"", ""JavaScript"", ""TypeScript""]"
c1c4dbb4-0049-4e55-9421-eabb67bda7b4,2026-06-11 21:54:55.723361+00,2023,1,Noite,7,Irregular,Fundamentos de Projeto e Análise de Algoritmos,Algoritmos e Estruturas de Dados II,,Gerência de Configuração e Evolução de Software,Gestão da Produção de Software,,Algoritmos e Estruturas de Dados II,Algoritmos em Grafos,,Claude,,Python,,"[""Swift""]",,Estagiário,,Frontend,,6 meses a 1 ano,6 meses a 1 ano,Média empresa (50 a 499 funcionários),R$ 5.000 – R$ 8.000,R$ 8.000 – R$ 12.000,Acima de R$ 18.000,Mercado privado no exterior,Fluente,R$ 1.000 – R$ 2.000,"[""Python"", ""Swift""]"
3624bb47-fca1-474d-aec7-b7bf17b9e44d,2026-06-11 17:19:12.311855+00,2025,1,Manhã,4,Regular,Algoritmos e Estruturas de Dados II,Cálculo II,,Introdução à Pesquisa em Informática,Interação Humano-Computador,Redes de Computadores,Algoritmos e Estruturas de Dados II,Programação Modular,Projeto de Software,Claude,,Python,,"[""Python"", ""JavaScript"", ""TypeScript"", ""Java""]",,Estagiário,,Full Stack,,2 a 4 anos,2 a 4 anos,Grande empresa / corporação (500 ou mais funcionários),R$ 5.000 – R$ 8.000,R$ 12.000 – R$ 18.000,Acima de R$ 18.000,Mercado privado no exterior,Básico,R$ 1.000 – R$ 2.000,"[""Python"", ""JavaScript"", ""TypeScript"", ""Java"", ""C#""]"
b9346c4f-d632-447d-8577-cc2f2daa5123,2026-06-11 13:06:19.144768+00,2023,2,Noite,6,Irregular,Fundamentos de Projeto e Análise de Algoritmos,Teoria dos Grafos e Computabilidade,,Gerência de Configuração e Evolução de Software,,,Arquitetura de Software,Programação Modular,Teste de Software,Claude,,Python,,"[""Python"", ""Dart / Flutter""]",,Analista / Desenvolvedor Júnior,,Análise de Sistemas,,1 a 2 anos,2 a 4 anos,Pequena empresa (até 49 funcionários),R$ 5.000 – R$ 8.000,R$ 8.000 – R$ 12.000,R$ 12.000 – R$ 18.000,Ainda não sei / não tenho plano definido,Básico,R$ 2.000 – R$ 4.000,"[""Python"", ""TypeScript"", ""Dart / Flutter"", ""JavaScript""]"
946361e9-b7a0-4a57-8dc6-587339ed3b23,2026-06-11 12:52:02.954092+00,2023,2,Noite,6,Irregular,Teoria dos Grafos e Computabilidade,Fundamentos de Projeto e Análise de Algoritmos,Programação Modular,Gerência de Projetos de Software,Gerência de Configuração e Evolução de Software,Engenharia Econômica para Software,Trabalho Interdisciplinar: Aplicações para Processos de Negócios,Teoria dos Grafos e Computabilidade,Algoritmos e Estruturas de Dados II,Claude,,Python,,"[""Python"", ""JavaScript"", ""TypeScript"", ""Java""]",,Analista / Desenvolvedor Júnior,,Full Stack,,2 a 4 anos,Mais de 4 anos,Média empresa (50 a 499 funcionários),R$ 5.000 – R$ 8.000,R$ 12.000 – R$ 18.000,Acima de R$ 18.000,Mercado privado no exterior,Fluente,R$ 2.000 – R$ 4.000,"[""Python"", ""JavaScript"", ""TypeScript""]"
cdb0d6ed-3c11-4761-b6c3-ba833c540c0a,2026-06-11 00:54:58.535659+00,2023,2,Noite,6,Irregular,Algoritmos e Estruturas de Dados II,Programação Modular,Cálculo I,Introdução à Pesquisa em Informática,Estatística e Probabilidade,Interação Humano-Computador,Algoritmos e Estruturas de Dados I,Algoritmos e Estruturas de Dados II,Programação Modular,ChatGPT,,Java,,"[""C""]",Nenhuma,Não trabalho na área,,,,Não trabalho na área,Não trabalho na área,,Prefiro não responder,Prefiro não responder,Prefiro não responder,Ainda não sei / não tenho plano definido,Fluente,,"[""Java""]"
a4730299-2c81-43fa-bcce-0f80623562fc,2026-06-10 18:17:58.452353+00,2023,1,Noite,7,Regular,Fundamentos de Projeto e Análise de Algoritmos,Teoria dos Grafos e Computabilidade,Desenvolvimento de Aplicações Móveis e Distribuídas,Computadores e Sociedade,Gestão da Produção de Software,Tecnologias da Informação e do Conhecimento,Redes de Computadores,Algoritmos e Estruturas de Dados II,Trabalho Interdisciplinar: Aplicações para Cenários Reais,Gemini,,Java,,"[""Python"", ""JavaScript"", ""Java"", ""C""]",,Analista / Desenvolvedor Júnior,,Segurança da Informação,,Menos de 6 meses,Mais de 4 anos,Grande empresa / corporação (500 ou mais funcionários),R$ 5.000 – R$ 8.000,R$ 12.000 – R$ 18.000,Acima de R$ 18.000,Mercado privado no Brasil (CLT ou PJ),Básico,R$ 4.000 – R$ 6.000,"[""Java"", ""C"", ""Python"", ""JavaScript""]"
74ab2997-258b-42e2-a3e3-345d408330c2,2026-06-10 17:58:23.381122+00,2023,1,Noite,6,Irregular,Fundamentos de Projeto e Análise de Algoritmos,,,Projeto de Software,,,Gerência de Projetos de Software,Bancos de Dados,Algoritmos e Estruturas de Dados II,Claude,,Python,,"[""Python"", ""JavaScript""]",,Trainee,,Full Stack,,1 a 2 anos,1 a 2 anos,Startup / empresa early-stage (independente do tamanho),R$ 5.000 – R$ 8.000,Acima de R$ 18.000,Acima de R$ 18.000,Ainda não sei / não tenho plano definido,Avançado,R$ 1.000 – R$ 2.000,"[""Python"", ""JavaScript""]"
58c24a7a-59f8-4783-9ca9-d9d25516af8d,2026-06-10 17:46:59.341943+00,2023,1,Noite,6,Irregular,Algoritmos e Estruturas de Dados II,Cálculo II,,Interação Humano-Computador,Estatística e Probabilidade,,Laboratório de Programação Modular,Arquitetura de Software,Projeto de Software,Claude,,C#,,"[""C#""]",,Estagiário,,Backend,,2 a 4 anos,Mais de 4 anos,Grande empresa / corporação (500 ou mais funcionários),R$ 8.000 – R$ 12.000,Acima de R$ 18.000,Acima de R$ 18.000,Empreender / abrir minha própria empresa,Avançado,R$ 1.000 – R$ 2.000,"[""C#"", ""Java"", ""JavaScript""]"
2c408003-252f-40f7-9410-b3d9f4345e9b,2026-06-10 16:53:15.283449+00,2022,2,Noite,8,Regular,Algoritmos e Estruturas de Dados II,Fundamentos de Projeto e Análise de Algoritmos,Estatística e Probabilidade,Computadores e Sociedade,Modelagem de Processos de Negócios,Engenharia de Requisitos de Software,Programação Modular,Trabalho Interdisciplinar: Aplicações para Cenários Reais,Algoritmos e Estruturas de Dados I,Copilot,,JavaScript,,"[""C#""]",,Analista / Desenvolvedor Júnior,,Full Stack,,2 a 4 anos,2 a 4 anos,Grande empresa / corporação (500 ou mais funcionários),R$ 5.000 – R$ 8.000,R$ 12.000 – R$ 18.000,Acima de R$ 18.000,Mercado privado no exterior,Avançado,R$ 2.000 – R$ 4.000,"[""JavaScript"", ""Java"", ""C#"", ""TypeScript""]"
d8c88876-4fcc-49f1-ad0a-5afb315cb663,2026-06-10 16:50:06.086769+00,2023,1,Noite,7,Irregular,Algoritmos e Estruturas de Dados II,Estatística e Probabilidade,,Introdução à Computação,Interação Humano-Computador,,Projeto de Software,Laboratório de Experimentação de Software,Engenharia Econômica para Software,Copilot,,TypeScript,,"[""Python"", ""TypeScript"", ""C#""]",,Analista / Desenvolvedor Júnior,,Machine Learning / IA,,1 a 2 anos,1 a 2 anos,Grande empresa / corporação (500 ou mais funcionários),Acima de R$ 18.000,Acima de R$ 18.000,Acima de R$ 18.000,Mercado privado no exterior,Básico,R$ 2.000 – R$ 4.000,"[""TypeScript"", ""Java"", ""JavaScript"", ""C#"", ""Python""]"
27d4fb68-6c5b-42da-b738-385c2d527ced,2026-06-10 16:46:11.789056+00,2023,1,Noite,7,Regular,Cálculo II,Teoria dos Grafos e Computabilidade,Fundamentos de Projeto e Análise de Algoritmos,Computadores e Sociedade,Interação Humano-Computador,Modelagem de Processos de Negócios,Algoritmos e Estruturas de Dados II,Teoria dos Grafos e Computabilidade,Fundamentos de Projeto e Análise de Algoritmos,Claude,,C#,,"[""C#""]",,Desenvolvedor Sênior,,Backend,,1 a 2 anos,1 a 2 anos,Multinacional (sede fora do Brasil),Acima de R$ 18.000,Acima de R$ 18.000,Acima de R$ 18.000,Mercado privado no exterior,Avançado,Acima de R$ 6.000,"[""C#""]"
57951be2-f4e8-47de-9169-36bb42fad6d7,2026-06-10 16:33:18.123954+00,2026,1,Manhã,1,Regular,Computabilidade,Introdução à Computação,Introdução à Algoritmos,Fundamentos de Engenharia de Software,Introdução à Algoritmos,Introdução à Computação,Introdução à Algoritmos,Computabilidade,Desenvolvimento de Interfaces Web,ChatGPT,,Python,,"[""Python"", ""JavaScript"", ""TypeScript"", ""C#""]",,Não trabalho na área,,,,Não trabalho na área,2 a 4 anos,,R$ 5.000 – R$ 8.000,R$ 8.000 – R$ 12.000,Acima de R$ 18.000,Mercado privado no Brasil (CLT ou PJ),Avançado,,"[""Python"", ""JavaScript""]"
083d77b7-88dc-4be5-9389-04f547541ffc,2026-06-10 16:23:54.979099+00,2023,2,Noite,6,Irregular,Fundamentos de Projeto e Análise de Algoritmos,Estatística e Probabilidade,Teoria dos Grafos e Computabilidade,Tecnologias da Informação e do Conhecimento,Introdução à Computação,Gerência de Projetos de Software,Teoria dos Grafos e Computabilidade,Algoritmos e Estruturas de Dados II,Algoritmos e Estruturas de Dados I,Claude,,TypeScript,Node,"[""JavaScript""]",,Estagiário,,Full Stack,,1 a 2 anos,1 a 2 anos,Startup / empresa early-stage (independente do tamanho),R$ 5.000 – R$ 8.000,R$ 8.000 – R$ 12.000,R$ 12.000 – R$ 18.000,Empreender / abrir minha própria empresa,Intermediário,R$ 1.000 – R$ 2.000,"[""TypeScript"", ""JavaScript"", ""Node"", ""Java"", ""Dart / Flutter"", ""Python""]"
d28b2ca0-18c7-4ef0-ab24-168a91505c25,2026-06-10 11:19:20.318291+00,2023,1,Noite,7,Regular,Algoritmos e Estruturas de Dados II,Fundamentos de Projeto e Análise de Algoritmos,Teoria dos Grafos e Computabilidade,Desenvolvimento de Aplicações Móveis e Distribuídas,Gerência de Projetos de Software,Tecnologias da Informação e do Conhecimento,Teoria dos Grafos e Computabilidade,Algoritmos e Estruturas de Dados I,Bancos de Dados,Gemini,,Python,,"[""Python""]",,Estagiário,,Machine Learning / IA,,1 a 2 anos,1 a 2 anos,Média empresa (50 a 499 funcionários),R$ 3.000 – R$ 5.000,R$ 8.000 – R$ 12.000,R$ 12.000 – R$ 18.000,Carreira acadêmica / ser professor,Avançado,R$ 2.000 – R$ 4.000,"[""Python""]"
